1|2020030051|pongpl49|แก้การบันทึกฐานข้อมูลเป็นข้อความ|2.5|2020-03-29 20:20:10
2|2020040052|sawik505|ดึงข้อมูล Package จาก Production มาลง Iot|4|2020-03-28 15:30:10
3|2020040051|pongpl49|Training Unit Test|4|2020-03-27 08:30:10
4|2020040007|phou529|ทำการแก้การเชื่อมต่อฐานข้อมูล ซึ่งทาง Operation มีการเพิ่มเครื่องฐานข้อมูลมาใหม่|0|2020-03-31 10:10:27
5|2020040007|phou529|ดึงข้อมูล Package จาก Production มาลง Iot|0|2020-03-31 11:04:00
6|2020040007|phou529|Test001|19|2020-03-31 11:44:11
7|2020040007|phou529|Test002|5|2020-03-31 12:07:13
8|2020040052|sawik505|Test003|6|2020-03-31 12:12:05
9|2020040052|sawik505|Test004|2|2020-03-31 12:15:23
10|2020040052|sawik505|Test005|3|2020-03-31 12:17:01
11|2020040052|sawik505|Test006|6|2020-03-31 19:20:26
12|2020040007|phou529|Test007|3|2020-03-31 19:34:37
13|2020040052|sawik505|Test008|1.5|2020-03-31 19:43:30
14|2020040007|phou529|Test009|0.5|2020-03-31 19:45:55
15|2020040007|phou529|Test010|0.5|2020-03-31 19:46:19
16|2020040007|sawik505|Test011|19.5|2020-03-31 19:49:08
17|2020040007|sawik505|Test012|4|2020-03-31 19:51:18
18|2020040052|phou529|Test013|12|2020-03-31 19:52:53
19|2020040007|phou529|Test014|16|2020-03-31 20:05:43
20|2020040007|sawik505|Test015|3.5|2020-03-31 20:13:49
21|2020040052|phou529|Test016|1.5|2020-04-01 19:01:58
22|2020040052|sawik505|Training Unit Test 2 |1.5|2020-04-04 13:23:07
23|2020040052|sawik505|New Test|1|2020-04-04 13:44:54
